Tag;Januar;Februar;Maerz;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;288;272;186;225;201;303;251;190;183;133;168;207
2;261;249;185;212;205;303;245;195;180;136;179;231
3;242;242;186;205;204;293;240;194;171;133;195;268
4;228;257;198;198;193;279;238;183;161;129;219;279
5;218;272;223;200;185;264;234;174;165;124;237;266
6;207;261;233;213;183;256;234;167;155;128;274;245
7;205;239;238;218;188;261;228;201;150;143;295;230
8;207;233;250;223;189;259;220;149;150;153;302;223
9;241;230;265;223;187;259;222;159;145;179;296;231
10;271;239;262;214;192;261;219;190;131;200;287;234
11;274;288;272;218;208;259;219;200;136;234;288;243
12;275;376;311;223;257;272;214;188;145;246;282;263
13;268;424;342;217;341;275;215;181;171;267;262;289
14;286;410;371;205;334;301;219;190;168;267;245;315
15;334;376;383;201;296;324;218;190;158;243;235;354
16;438;337;437;196;281;324;206;185;146;218;223;425
17;505;297;550;189;259;323;192;187;138;209;213;476
18;478;281;629;183;240;321;187;189;132;199;206;480
19;427;259;636;182;224;327;186;192;124;207;218;458
20;375;244;597;174;218;328;180;185;119;214;219;426
21;340;234;539;169;209;324;179;177;116;223;224;390
22;308;228;479;161;218;320;168;172;108;247;223;385
23;279;220;425;158;281;322;162;179;107;294;208;384
24;256;212;376;154;427;317;155;210;103;268;200;376
25;243;203;349;155;459;328;148;241;102;246;189;378
26;230;200;327;157;438;315;145;243;111;233;180;405
27;219;198;302;160;392;319;140;233;121;223;172;438
28;217;189;281;168;357;286;135;219;123;208;166;459
29;241;;265;176;330;277;142;205;127;196;171;455
30;279;;251;191;317;268;156;194;132;186;189;433
31;281;;237;;306;;177;186;;179;;413
