date,level
2000-01-01,684.0
2000-01-02,605.0
2000-01-03,554.0
2000-01-04,511.0
2000-01-05,487.0
2000-01-06,465.0
2000-01-07,447.0
2000-01-08,431.0
2000-01-09,421.0
2000-01-10,406.0
2000-01-11,395.0
2000-01-12,404.0
2000-01-13,413.0
2000-01-14,389.0
2000-01-15,364.0
2000-01-16,347.0
2000-01-17,329.0
2000-01-18,314.0
2000-01-19,303.0
2000-01-20,289.0
2000-01-21,284.0
2000-01-22,281.0
2000-01-23,282.0
2000-01-24,277.0
2000-01-25,283.0
2000-01-26,282.0
2000-01-27,270.0
2000-01-28,253.0
2000-01-29,240.0
2000-01-30,240.0
2000-01-31,281.0
2001-01-01,277.0
2001-01-02,259.0
2001-01-03,258.0
2001-01-04,297.0
2001-01-05,323.0
2001-01-06,397.0
2001-01-07,541.0
2001-01-08,621.0
2001-01-09,616.0
2001-01-10,570.0
2001-01-11,523.0
2001-01-12,488.0
2001-01-13,470.0
2001-01-14,441.0
2001-01-15,410.0
2001-01-16,379.0
2001-01-17,347.0
2001-01-18,327.0
2001-01-19,306.0
2001-01-20,293.0
2001-01-21,280.0
2001-01-22,274.0
2001-01-23,280.0
2001-01-24,328.0
2001-01-25,408.0
2001-01-26,486.0
2001-01-27,504.0
2001-01-28,521.0
2001-01-29,533.0
2001-01-30,503.0
2001-01-31,455.0
2002-01-01,590.0
2002-01-02,662.0
2002-01-03,621.0
2002-01-04,475.0
2002-01-05,404.0
2002-01-06,351.0
2002-01-07,313.0
2002-01-08,295.0
2002-01-09,282.0
2002-01-10,265.0
2002-01-11,255.0
2002-01-12,245.0
2002-01-13,237.0
2002-01-14,227.0
2002-01-15,218.0
2002-01-16,213.0
2002-01-17,210.0
2002-01-18,208.0
2002-01-19,198.0
2002-01-20,200.0
2002-01-21,204.0
2002-01-22,324.0
2002-01-23,466.0
2002-01-24,494.0
2002-01-25,474.0
2002-01-26,481.0
2002-01-27,494.0
2002-01-28,528.0
2002-01-29,639.0
2002-01-30,687.0
2002-01-31,684.0
2003-01-01,668.0
2003-01-02,679.0
2003-01-03,702.0
2003-01-04,845.0
2003-01-05,933.0
2003-01-06,916.0
2003-01-07,877.0
2003-01-08,840.0
2003-01-09,773.0
2003-01-10,685.0
2003-01-11,592.0
2003-01-12,527.0
2003-01-13,480.0
2003-01-14,439.0
2003-01-15,420.0
2003-01-16,408.0
2003-01-17,400.0
2003-01-18,402.0
2003-01-19,401.0
2003-01-20,388.0
2003-01-21,374.0
2003-01-22,369.0
2003-01-23,397.0
2003-01-24,423.0
2003-01-25,433.0
2003-01-26,437.0
2003-01-27,432.0
2003-01-28,422.0
2003-01-29,424.0
2003-01-30,440.0
2003-01-31,480.0
2004-01-01,168.0
2004-01-02,152.0
2004-01-03,142.0
2004-01-04,136.0
